"logFC" "t" "P.Value" "adj.P.Val" "B"
"Insrr" 3.82718296218303 11.1293950124716 3.66339259848753e-15 1.46251791013118e-12 23.4828402070884
"Scarf2" 1.06671018925907 10.8745071580909 8.3904456910292e-15 2.91276146174012e-12 23.4722323687468
"Mxra8" 1.4476284490817 10.8261018879773 9.82960980725287e-15 3.33976678748981e-12 23.3546865660581
"Sstr4" -1.1826817341461 -10.7798069881637 1.14395736607124e-14 3.72813370995746e-12 23.2055202201682
"Ddr2" 2.03790397330567 10.7194115885714 1.39483448644856e-14 4.4548223828194e-12 23.0094434381644
"Kank4" 1.51537533821309 10.6954400153815 1.50923452489608e-14 4.72567963295401e-12 22.9211804611756
"Bmp7" 2.46713357657789 10.6719482902235 1.63055611661019e-14 5.00737512041311e-12 22.8296140241731
"Msln" 4.44146013498437 10.8172060843848 1.01201079645553e-14 3.36683341845801e-12 22.7319458190601
"Ctgf" -2.03614982260048 -10.6182142135628 1.94650462234374e-14 5.86485515362398e-12 22.682987890312
"Kcnmb4" -1.07502013423232 -10.6108402200381 1.9944511321744e-14 5.89803520920241e-12 22.5492899848908
"Cyth2" -0.704071105776895 -10.6032617030365 2.04497276586797e-14 5.93748547239012e-12 22.4885031226423
"Svil" 1.57454217912085 10.5744691806026 2.24900839496726e-14 6.41328840343433e-12 22.474717591644
"RGD1561849" -1.15302481097585 -10.4193948526985 3.760229353276e-14 1.0352948714218e-11 21.883920097925
"Col23a1" -2.05822949269507 -10.3458508631678 4.80315540516285e-14 1.2574030928696e-11 21.7855337702608
"Aldh1l1" 0.952373023824325 10.3603359116427 4.57683138763748e-14 1.21812367381972e-11 21.7375387209121
"Calb1" 1.51184757654992 10.3714649517136 4.41029175429688e-14 1.19369405126046e-11 21.7352645929461
"Myh1" -2.78294362333481 -10.4255185251117 3.68447120389756e-14 1.03223369570246e-11 21.6531622775732
"Phactr2" 1.08420300360862 10.2165769586313 7.39763999918765e-14 1.87512560550837e-11 21.3696326175445
"Plcb3" 0.685955223490332 10.1885618393859 8.12562451037104e-14 1.98740553279046e-11 21.2495657293483
"Sfmbt2" -1.48208641444438 -10.1717734903019 8.59615799067096e-14 2.0187065728386e-11 21.1486146143745
"Jam2" 0.853713203984885 10.1853363096935 8.21396237486194e-14 1.98740553279046e-11 21.1386912828525
"Pc" 0.522923155648086 10.1922339840674 8.02622327877895e-14 1.98740553279046e-11 21.1278999298923
"Nin" -0.880296325733636 -10.1738769013431 8.53572745633345e-14 2.0187065728386e-11 21.1066773059521
